,  ,  2019-07-26T16:01:19.024+0000 , main , com.sharklabs.ams.AssetApplication.main , INFO ,  ******* Asset Management Service has started *********
user = john.carnell, sessionId = ED798EFBDEE698BADCA4ABCC1B1FD048 ,  2019-07-26T16:11:39.471+0000 , http-nio-8195-exec-2 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = ED798EFBDEE698BADCA4ABCC1B1FD048 ,  2019-07-26T16:11:39.550+0000 , http-nio-8195-exec-2 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 860AB49A2315A3A69E5CEF2CB29168F5 ,  2019-07-26T16:11:43.413+0000 , http-nio-8195-exec-3 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = 860AB49A2315A3A69E5CEF2CB29168F5 ,  2019-07-26T16:11:43.443+0000 , http-nio-8195-exec-3 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 2FD6885EF355425130D1D7C9FAD458C2 ,  2019-07-26T16:11:49.462+0000 , http-nio-8195-exec-5 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = 2FD6885EF355425130D1D7C9FAD458C2 ,  2019-07-26T16:11:49.468+0000 , http-nio-8195-exec-5 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 07168C7B7936D4C34BFD0CAF6F312694 ,  2019-07-26T16:11:51.430+0000 , http-nio-8195-exec-7 , com.sharklabs.ams.api.AssetController.getPaginatedAssets , INFO ,  Request received in controller to get page of assets.
user = john.carnell, sessionId = 07168C7B7936D4C34BFD0CAF6F312694 ,  2019-07-26T16:11:51.438+0000 , http-nio-8195-exec-7 , com.sharklabs.ams.api.AssetService.getPaginatedAssets , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 6F3D82EC486E590229541B95FAF58B31 ,  2019-07-26T16:11:51.602+0000 , http-nio-8195-exec-8 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = 6F3D82EC486E590229541B95FAF58B31 ,  2019-07-26T16:11:51.657+0000 , http-nio-8195-exec-8 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = EBD347C91E13FCF8D1FC58C0F961F3BC ,  2019-07-26T16:11:54.342+0000 , http-nio-8195-exec-10 , com.sharklabs.ams.api.AssetController.getBasicAssetDetailByTenant , INFO ,  Request received in controller to get basic asset detail by tenant uuid. TenantUUID: FMS-0RG-001001
user = john.carnell, sessionId = EBD347C91E13FCF8D1FC58C0F961F3BC ,  2019-07-26T16:11:54.346+0000 , http-nio-8195-exec-10 , com.sharklabs.ams.api.AssetService.getBasicAssetDetailByTenant , INFO ,  Basic detail of asset got successfully
user = john.carnell, sessionId = C4ECDC9BB57CFC5841263017830D6AA4 ,  2019-07-26T16:11:54.396+0000 , http-nio-8195-exec-2 , com.sharklabs.ams.api.AssetController.getPaginatedUsages , INFO ,  Request received in controller to get paginated usages. TenantUUID: FMS-0RG-001001 Offset: 0 Limit: 10  AssetUUID: null Start Date: null End Date: null
user = john.carnell, sessionId = C4ECDC9BB57CFC5841263017830D6AA4 ,  2019-07-26T16:11:54.446+0000 , http-nio-8195-exec-2 , com.sharklabs.ams.api.AssetService.getPaginatedUsages , INFO ,  Usages got successfully
user = john.carnell, sessionId = 522F5FF1A25B4B6CDBD760DB7CB00653 ,  2019-07-26T16:11:54.512+0000 , http-nio-8195-exec-4 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = 522F5FF1A25B4B6CDBD760DB7CB00653 ,  2019-07-26T16:11:54.512+0000 , http-nio-8195-exec-4 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 8040C31E2BBA75FAC179F360D42F89DB ,  2019-07-26T16:12:01.485+0000 , http-nio-8195-exec-6 , com.sharklabs.ams.api.AssetController.getBasicAssetDetailByTenant , INFO ,  Request received in controller to get basic asset detail by tenant uuid. TenantUUID: FMS-0RG-001001
