,  ,  2019-07-26T20:28:36.229+0500 , main , com.sharklabs.inspections.InspectionsApplication.main , INFO ,  ******* Inspection Service has started *********
,  ,  2019-07-26T21:02:40.949+0500 , main , com.sharklabs.inspections.InspectionsApplication.main , INFO ,  ******* Inspection Service has started *********
,  ,  2019-07-26T21:06:04.979+0500 , main , com.sharklabs.inspections.InspectionsApplication.main , INFO ,  ******* Inspection Service has started *********
user = john.carnell, sessionId = 3AFCFAB63F618D345B5A5BDF9E56F539 ,  2019-07-26T21:11:38.957+0500 , http-nio-8197-exec-1 , com.sharklabs.inspections.api.InspectionController.getPaginatedInspectionReports , INFO ,  Request received in controller to get page of inspection reports
user = john.carnell, sessionId = 3AFCFAB63F618D345B5A5BDF9E56F539 ,  2019-07-26T21:11:39.193+0500 , http-nio-8197-exec-1 , com.sharklabs.inspections.api.InspectionService.getPaginatedInspectionReports , INFO ,  Page of inspection report got successfully. Returning it to controller
user = john.carnell, sessionId = 64797425FAFF0527E8DAEE3758E676AF ,  2019-07-26T21:11:43.298+0500 , http-nio-8197-exec-4 , com.sharklabs.inspections.api.InspectionController.getPaginatedIssue , INFO ,  Request received in controller to get page of issues
user = john.carnell, sessionId = 64797425FAFF0527E8DAEE3758E676AF ,  2019-07-26T21:11:43.369+0500 , http-nio-8197-exec-4 , com.sharklabs.inspections.api.InspectionService.getPaginatedIssues , INFO ,  Page of issues got successfully. Returning it to controller
user = john.carnell, sessionId = 8A2F51497868D99AFC41A706BA1BB69E ,  2019-07-26T21:11:49.429+0500 , http-nio-8197-exec-6 , com.sharklabs.inspections.api.InspectionController.getPaginatedServiceRequestsByTenant , INFO ,  Request received in controller to get page of service requests
user = john.carnell, sessionId = 8A2F51497868D99AFC41A706BA1BB69E ,  2019-07-26T21:11:49.437+0500 , http-nio-8197-exec-6 , com.sharklabs.inspections.api.InspectionService.getPaginatedServiceRequestsByTenant , INFO ,  service requests got successfully. Returning to controller
user = john.carnell, sessionId = 0CC88D027A288A5B77E6DA1FE2316CFD ,  2019-07-26T21:11:51.487+0500 , http-nio-8197-exec-8 , com.sharklabs.inspections.api.InspectionController.getIssuesCount , INFO ,  Request received in controller to get count of issues of assets.
user = john.carnell, sessionId = 0CC88D027A288A5B77E6DA1FE2316CFD ,  2019-07-26T21:11:51.512+0500 , http-nio-8197-exec-8 , com.sharklabs.inspections.api.InspectionService.getIssuesCount , INFO ,  Issue Count got successfully.
user = john.carnell, sessionId = 481769937AADF29172FB3C8B854F2D5F ,  2019-07-26T21:11:51.677+0500 , http-nio-8197-exec-9 , com.sharklabs.inspections.api.InspectionController.getIssuesCount , INFO ,  Request received in controller to get count of issues of assets.
user = john.carnell, sessionId = 481769937AADF29172FB3C8B854F2D5F ,  2019-07-26T21:11:51.705+0500 , http-nio-8197-exec-9 , com.sharklabs.inspections.api.InspectionService.getIssuesCount , INFO ,  Issue Count got successfully.
,  ,  2019-08-02T19:20:37.833+0500 , main , com.sharklabs.inspections.InspectionsApplication.main , INFO ,  ******* Inspection Service has started *********
user = john.carnell, sessionId = 0C1A3A88EB89D6913FB76F3106F09AE1 ,  2019-08-02T19:32:57.887+0500 , http-nio-8197-exec-2 , com.sharklabs.inspections.api.InspectionController.getPaginatedInspectionReports , INFO ,  Request received in controller to get page of inspection reports
user = john.carnell, sessionId = 0C1A3A88EB89D6913FB76F3106F09AE1 ,  2019-08-02T19:32:58.113+0500 , http-nio-8197-exec-2 , com.sharklabs.inspections.api.InspectionService.getPaginatedInspectionReports , INFO ,  Page of inspection report got successfully. Returning it to controller
